,UNITID,Long-term investments,Total assets,Total liabilities,Total unrestricted net assets,Total expenses-Total amount,Student service-Total amount,Academic support-Total amount,Public service-Total amount,Research-Total amount,Net assets released from restriction - Total,Total revenues and investment return - Total,Other revenue - Total,Investment return - Total,Total discounts and allowances,Tuition and fees - Total,Total student grants,Total expenses,Total revenues and investment return,Total net assets,Total restricted net assets,INSTNM,ZIP,LATITUDE,LONGITUDE
0,100690,9384788.0,14438530.0,2487355.0,11242127.0,7286508,1018888,621973,0,0,0,9710803,58289,15667,911403.0,8266939,2254221.0,7286508.0,9710803.0,11951175.0,709048.0,Amridge University,36117-3553,32.362609,-86.17401
1,100937,50743827.0,159285516.0,47756472.0,53054909.0,45928718,9163696,3819949,0,0,0,35072980,1281730,-720385,8617959.0,13802483,10136762.0,45928718.0,35072980.0,111529044.0,58474135.0,Birmingham-Southern College,35254,33.513774,-86.850552
2,101189,20868071.0,89941892.0,42026935.0,29345184.0,43859630,9502427,2776177,0,0,0,42795009,991288,25492,12701625.0,33557876,20398322.0,43859630.0,42795009.0,47914957.0,18569773.0,Faulkner University,36109-3390,32.384181,-86.21641
3,101365,0.0,9435073.0,3717479.0,5717594.0,5294763,1628425,277148,0,0,0,7906395,174055,0,1270972.0,7732340,3358259.0,5294763.0,7906395.0,5717594.0,0.0,Herzing University-Birmingham,35209,33.468466,-86.832465
4,101435,50818280.0,86309501.0,26153792.0,9068001.0,23501092,6843952,2118847,0,0,0,23333211,0,1966406,10861005.0,12136759,13159808.0,23501092.0,23333211.0,60155709.0,51087708.0,Huntingdon College,36106-2148,32.351034,-86.284366
5,101453,14434665.0,18177340.0,1879885.0,4412763.0,2995640,396591,178452,66250,14435,0,5817221,58512,1947012,0.0,239792,531362.0,2995640.0,5817221.0,16297455.0,11884692.0,Heritage Christian University,35630-9977,34.856153,-87.663051
6,101541,15671684.0,30180424.0,16210832.0,-1279942.0,9634073,1295589,906704,102738,0,0,8967188,2180749,530539,2524674.0,2012505,3576689.0,9634073.0,8967188.0,13969592.0,15249534.0,Judson College,36756,32.629253,-87.315206
7,101675,23273985.0,92185920.0,34648126.0,53868542.0,31194649,6675794,2720742,3655,0,0,31247887,667989,1623169,4658700.0,7463738,15815567.0,31194649.0,31247887.0,57537794.0,3669252.0,Miles College,35064-2621,33.482442,-86.908751
8,101693,16454881.0,69294728.0,40017873.0,5122437.0,31108237,3032258,862405,0,0,0,27842301,348359,573785,14012930.0,14308434,17442226.0,31108237.0,27842301.0,29276855.0,24154418.0,University of Mobile,36613-2842,30.793247,-88.128934
9,101912,25126437.0,101474881.0,16741379.0,55874697.0,55566100,5089194,4213967,148201,723744,0,57079560,2109641,1041090,13543771.0,23316539,13543771.0,55566100.0,57079560.0,84733502.0,28858805.0,Oakwood University,35896,34.756344,-86.652705
10,102049,317435540.0,721884021.0,432635269.0,33216539.0,175630504,28138950,13573585,3683089,0,0,181572091,9372066,15435225,56795000.0,114874933,59999758.0,175630504.0,181572091.0,289248752.0,256032213.0,Samford University,35229-2240,33.464128,-86.791799
11,102058,0.0,1106179.0,334534.0,715997.0,4077700,133232,48305,0,0,0,4781223,201575,0,1170110.0,3409538,1612732.0,4077700.0,4781223.0,771645.0,55648.0,,,,
12,102234,50356824.0,155312533.0,72439581.0,49093205.0,39912942,6966655,3019576,0,0,0,39353575,1798104,2784262,32218124.0,17852090,35794600.0,39912942.0,39353575.0,82872952.0,33779747.0,Spring Hill College,36608-1791,30.694751,-88.138199
13,102270,19060678.0,64862700.0,43928867.0,3085906.0,18471215,3090494,1085153,0,0,0,18544295,825645,529775,866708.0,8708296,4608593.0,18471215.0,18544295.0,20933833.0,17847927.0,Stillman College,35401,33.200006,-87.585278
14,102298,17081860.0,97022463.0,35943646.0,58516849.0,20496405,5362241,869296,497285,0,0,23350776,460346,95083,6045936.0,9925099,13496232.0,20496405.0,23350776.0,61078817.0,2561968.0,Talladega College,35160,33.433472,-86.112704
15,102377,159872068.0,412742736.0,147991511.0,120770636.0,125012842,9783026,5541344,9312466,25245462,0,136496600,8854293,8372474,19704455.0,48664870,29146714.0,125012842.0,136496600.0,264751225.0,143980589.0,Tuskegee University,36088-1920,32.4309,-85.708492
16,102395,17053530.0,24047719.0,340586.0,23377404.0,4648682,825936,131706,57424,149694,0,4397904,456377,731717,144557.0,2893705,336649.0,4648682.0,4397904.0,23707133.0,329729.0,United States Sports Academy,36526-7055,30.639329,-87.91163
17,102580,0.0,2585752.0,372812.0,2161738.0,968343,16927,42883,0,0,0,1008581,0,713,34603.0,325915,169925.0,968343.0,1008581.0,2212940.0,51202.0,Alaska Bible College,99645,61.598553,-149.111972
18,102669,74723616.0,134770382.0,8785927.0,101937480.0,17394097,3658560,481016,246167,1816599,0,12338673,781602,2522351,2277039.0,4512549,2971440.0,17394097.0,12338673.0,125984455.0,24046975.0,Alaska Pacific University,99508,61.190968,-149.804168
19,103945,0.0,867693.0,912646.0,-44953.0,2332670,618587,618587,0,0,0,1296353,0,0,33093.0,1296353,338749.0,2332670.0,1296353.0,-44953.0,0.0,,,,
20,104188,377246.0,2772415.0,382510.0,2389905.0,3800728,590388,839944,0,0,0,3932392,0,61183,170508.0,3871209,808050.0,3800728.0,3932392.0,2389905.0,0.0,,,,
21,104586,,,,,78189000,13038000,3755000,0,1473000,0,89458000,1292000,2236000,34522000.0,73395000,38606656.0,,,,,Embry-Riddle Aeronautical University-Prescott,86301-3720,34.616766,-112.449741
22,104665,,,,,2297033,451775,51033,81296,0,0,2117590,979666,27280,34178.0,485427,193728.0,,,,,The School of Architecture,85253,33.566649,-111.941953
23,105589,2200891.0,26326899.0,11850311.0,11279584.0,14897402,2513011,1761612,2022035,0,0,15299447,3183959,223046,4699520.0,10633577,5742040.0,14897402.0,15299447.0,14476588.0,3197004.0,Prescott College,86301,34.5452,-112.477185
24,105899,999388.0,48749850.0,20028352.0,20252107.0,20117377,4826772,818110,0,0,0,36569637,250518,17629858,8680797.0,8021783,10108841.0,20117377.0,36569637.0,28721498.0,8469391.0,Arizona Christian University,85306-3216,33.622952,-112.181776
25,106306,0.0,33859346.0,37637660.0,-3778314.0,13861323,999648,634498,723301,0,0,11569074,0,0,344202.0,3452023,2283224.0,13861323.0,11569074.0,-3778314.0,0.0,Arkansas Baptist College,72202-6068,34.734751,-92.290555
26,106342,44535534.0,85834856.0,42829687.0,-22737658.0,27439017,7000346,2119935,0,0,0,17355970,2378878,1549919,12213877.0,6022180,14796900.0,27439017.0,17355970.0,43005169.0,65742827.0,Lyon College,72501,35.777619,-91.625354
27,106546,,,,,8354320,391289,596700,0,0,0,3659134,0,0,292632.0,3366502,1720999.0,,,,,Baptist Health College Little Rock,72210-2827,34.713115,-92.40692
28,106713,3314633.0,30451369.0,12612831.0,14466158.0,10275875,1038487,960366,0,0,0,10471629,171973,334666,3706367.0,6423320,6139298.0,10275875.0,10471629.0,17838538.0,3372380.0,Central Baptist College,72034,35.083838,-92.445021
29,106810,80841.0,4438792.0,1494163.0,1480533.0,3295251,1034977,315390,0,0,0,2672936,0,50018,927320.0,1462768,1605339.0,3295251.0,2672936.0,2944629.0,1464096.0,Crowley's Ridge College,72450,36.064845,-90.584395
30,107044,162579192.0,411258110.0,72833168.0,179789450.0,126764996,18453014,12279081,1663538,0,0,138829825,1594665,9204586,30306294.0,71826752,38438566.0,126764996.0,138829825.0,338424942.0,158635492.0,Harding University,72149-5615,35.247386,-91.726143
31,107080,184432809.0,338274114.0,115212240.0,40742029.0,55403093,10558338,4421878,0,1295237,0,35254392,2096472,-1521032,38503145.0,14420956,40125334.0,55403093.0,35254392.0,223061874.0,182319845.0,Hendrix College,72032-3080,35.101565,-92.443256
32,107123,,,,,1127713,51534,236566,0,0,0,857916,296459,0,0.0,561457,296459.0,,,,,Jefferson Regional Medical Center School of Nursing,71603,34.187831,-92.018045
33,107141,124033830.0,238655664.0,12568526.0,117941371.0,52394575,9568739,5908118,2561906,137716,0,55512669,2935001,4727003,19664875.0,23488853,22140778.0,52394575.0,55512669.0,226087138.0,108145767.0,John Brown University,72761,36.189812,-94.560283
34,107512,111841329.0,204864458.0,61153605.0,20342785.0,43326728,9368312,1601476,1568502,300560,0,45558349,1701875,5036795,23766503.0,15541460,29268932.0,43326728.0,45558349.0,143710853.0,123368068.0,Ouachita Baptist University,71998-0001,34.126093,-93.052471
35,107558,111572156.0,161895225.0,13475980.0,24447308.0,23778697,4217354,2911231,0,0,0,23657332,833500,5450929,13823194.0,7935963,16515669.0,23778697.0,23657332.0,148419245.0,123971937.0,University of the Ozarks,72830,35.476278,-93.467221
